# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000     1523.695     2338.859
       1.007      136.800     1523.695     2338.859
       2.008      134.800     1523.695     2338.859
       3.010      135.800     1523.695     2338.875
       4.011      136.900     1523.695     2338.875
       5.012      135.800     1523.770     2338.859
       6.014      136.800     1523.770     2338.859
       7.015      137.800     1523.770     2338.875
       8.017      136.800     1523.793     2338.859
       9.018      135.800     1523.793     2338.859
      10.020      135.800     1523.793     2338.875
      11.022      136.800     1523.809     2338.859
      12.023      135.800     1523.809     2338.859
      13.025      135.800     1523.809     2338.875
      14.026      134.800     1523.809     2338.875
      15.027      137.800     1523.848     2338.859
      16.029      135.800     1523.848     2338.875
      17.031      134.800     1523.848     2338.875
      18.032      137.800     1523.867     2338.859
      19.034      138.800     1523.867     2338.859
      20.035      136.900     1523.867     2338.875
      21.036      135.800     1523.867     2338.875
      22.038      135.800     1523.902     2338.859
      23.039      134.800     1523.902     2338.875
      24.041      135.800     1523.910     2338.859
      25.042      135.900     1523.910     2338.859
      26.043      137.800     1523.871     2338.812
      27.045      136.800     1523.863     2338.797
      28.046      138.900     1523.863     2338.812
      29.048      134.800     1523.863     2338.812
      30.049      135.800     1523.863     2338.812
      31.051      135.800     1523.891     2338.797
      32.052      136.800     1523.891     2338.797
      33.054      135.800     1523.891     2338.812
      34.056      134.800     1523.910     2338.797
      35.057      137.800     1523.910     2338.812
      36.059      134.800     1523.910     2338.812
      37.060      135.800     1523.930     2338.797
      38.062      138.800     1523.930     2338.797
      39.063      132.800     1523.930     2338.797
      40.065      135.800     1523.930     2338.812
      41.067      138.800     1523.961     2338.797
      42.068      132.800     1523.961     2338.797
      43.070      135.800     1523.961     2338.812
      44.072      137.800     1523.973     2338.797
      45.073      132.800     1523.973     2338.797
      46.075      135.800     1523.973     2338.797
      47.076      137.800     1523.973     2338.812
      48.078      132.800     1524.008     2338.797
      49.080      135.800     1524.008     2338.797
      50.081      137.800     1524.008     2338.812
      51.083      134.800     1524.027     2338.797
      52.084      134.800     1524.027     2338.797
      53.086      137.800     1524.027     2338.797
      54.088      132.800     1524.027     2338.812
      55.089      136.800     1524.055     2338.797
      56.091      138.800     1524.055     2338.797
      57.092      132.800     1524.055     2338.875
      58.094      134.800     1524.031     2338.812
      59.095      135.800     1524.027     2338.797
avg cpu 133.77666666666678
