# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000     2970.793     3903.961
       1.008      140.800     2970.801     3903.957
       2.009      133.800     2970.785     3903.902
       3.010      135.900     2970.785     3903.902
       4.012      136.800     2970.785     3903.918
       5.014      140.800     2970.785     3903.918
       6.015      141.800     2970.785     3903.918
       7.017      140.700     2970.785     3903.918
       8.018      134.800     2970.785     3903.918
       9.020      134.800     2970.785     3903.918
      10.022      139.800     2970.785     3903.918
      11.029      143.000     2970.785     3903.934
      12.030      139.800     2970.785     3903.934
      13.032      135.800     2970.785     3903.934
      14.033      134.800     2970.785     3903.934
      15.034      140.900     2970.785     3903.934
      16.036      142.800     2970.785     3903.934
      17.037      135.800     2970.785     3903.934
      18.038      130.900     2970.785     3903.934
      19.040      136.800     2970.785     3903.949
      20.042      141.800     2970.785     3903.949
      21.042      132.900     2970.883     3903.934
      22.044      131.800     2970.883     3903.934
      23.046      145.800     2970.883     3903.934
      24.047      131.800     2970.883     3903.934
      25.049      136.800     2970.883     3903.934
      26.050      143.700     2970.883     3903.934
      27.053      130.800     2970.883     3903.949
      28.054      142.800     2970.883     3903.949
      29.056      135.800     2970.883     3903.949
      30.058      132.800     2970.883     3903.949
      31.059      145.700     2970.914     3903.934
      32.061      131.800     2970.914     3903.934
      33.062      130.900     2970.914     3903.934
      34.063      147.800     2970.914     3903.934
      35.065      130.800     2970.914     3903.949
      36.066      138.800     2970.914     3903.949
      37.068      138.800     2970.914     3903.949
      38.070      131.800     2970.934     3903.934
      39.070      146.900     2970.934     3903.934
      40.071      131.900     2970.934     3903.934
      41.073      139.800     2970.934     3903.934
      42.074      141.800     2970.934     3903.934
      43.076      130.800     2970.934     3903.934
      44.078      137.800     2970.934     3903.949
      45.079      140.800     2970.934     3903.949
      46.081      130.800     2970.957     3903.934
      47.082      145.800     2970.957     3903.949
      48.084      131.800     2970.957     3903.949
      49.086      137.800     2970.961     3903.934
      50.086      139.900     2970.961     3903.934
      51.088      130.800     2970.961     3903.934
      52.090      146.700     2970.961     3903.949
      53.092      133.800     2970.961     3903.949
      54.093      130.800     2970.973     3903.934
      55.095      146.700     2970.973     3903.934
      56.097      130.800     2970.973     3903.934
      57.098      138.800     2970.973     3903.934
      58.100      139.800     2970.973     3903.934
      59.102      130.800     2970.973     3903.934
135.14500000000007
